threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1711,369,369
0.78,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1578,502,502
0.8,49,48,1,0.0204,0,0,0,0.0,12,12,0,2080,1455,625,626
0.82,49,46,3,0.0612,0,0,0,0.0,12,12,0,2080,1305,775,778
0.84,49,42,7,0.1429,0,0,0,0.0,12,12,0,2080,1163,917,924
0.86,49,37,12,0.2449,0,0,0,0.0,12,12,0,2080,993,1087,1099
0.88,49,30,19,0.3878,0,0,0,0.0,12,10,2,2080,795,1285,1306
0.9,49,24,25,0.5102,0,0,0,0.0,12,8,4,2080,635,1445,1474
0.92,49,10,39,0.7959,0,0,0,0.0,12,7,5,2080,460,1620,1664
0.94,49,7,42,0.8571,0,0,0,0.0,12,3,9,2080,302,1778,1829
